ratingdif;Y
207.4579717;0
202.999333;0
201.4926766;0
200.4409244;0
172.8722103;1
238.9991863;0
156.288796;0
162.9425587;0
268.9891107;0
214.6376952;0
240.5741887;0
149.5689302;1
349.249037;0
198.4956613;0
199.3427353;0
254.084299;0
84.54795152;0
150.0088512;0
264.0454076;0
109.4273832;0
267.4990516;1
98.14457711;0
83.47511844;0
317.3369403;0
340.495419;0
190.2557951;0
153.3012535;0
51.45600855;0
221.3862569;1
68.2767538;0
361.3370333;1
101.3039253;1
115.2254599;0
495.6539152;0
308.8975332;0
192.1016751;0
225.4869028;0
161.2507886;0
52.68404617;1
479.9179762;0
180.7084909;0
138.2610663;0
396.1502409;0
393.9653112;0
341.9104887;0
245.6442722;1
134.3650061;0
26.24770888;0
350.4679738;0
470.154713;0
55.86342419;0
306.0573387;1
275.6214588;0
159.2020757;0
450.3351411;0
196.8808959;1
252.9114257;0
249.6988143;1
116.219501;1
459.4472582;0
497.0616424;0
76.60110186;1
476.6746269;0
47.96640123;0
65.15707766;0
122.9904868;0
22.05077935;0
384.0524938;0
10.32497634;0
200.0690121;0
161.5238888;0
196.7296538;0
146.8399115;1
277.0586767;0
283.2141804;0
313.3554465;0
161.492198;0
655.2381759;0
119.9296843;0
193.8030889;1
170.5986021;0
38.07461396;0
320.3607249;0
356.5005739;0
147.1690939;1
68.07333122;1
273.5187577;0
600.7652704;0
389.1828661;0
257.0345604;0
72.24115614;1
141.8503955;0
178.0465783;1
583.5050236;0
235.3608276;1
423.3633366;0
173.6884406;0
380.7659324;0
94.42567399;1
153.752853;1
177.112159;0
183.8382386;1
171.671043;0
104.5596194;0
32.95815103;0
243.7180791;1
1.073459995;0
341.993667;0
167.21256;0
341.7226536;1
243.930981;1
95.12383828;0
54.94731176;0
271.497183;0
279.2837005;1
210.0316034;0
152.9677037;0
325.2097078;0
215.5995036;0
273.7182878;1
94.52819593;0
28.31462338;0
129.7863459;0
331.5285363;0
505.5069616;1
155.294415;0
315.4985699;0
30.05928218;0
118.9280691;0
89.11781503;0
582.1921013;0
354.7695981;0
268.0967599;0
129.5213689;0
249.2608598;0
392.3847297;0
118.3468451;1
279.3210566;0
353.9098867;0
305.7514542;0
212.1302369;1
98.27722231;0
225.1113845;0
166.9970471;1
85.80300857;0
655.9297988;0
215.3206068;0
26.89944268;0
52.23497226;0
341.5864825;0
318.9349184;1
447.7554361;0
277.1028507;1
313.0287505;0
50.62974456;0
237.539913;1
91.71557236;0
464.4528405;1
477.5558482;0
131.0204368;0
374.6214779;0
127.0300935;1
226.4220625;0
398.7496921;0
46.33634474;0
314.7166015;0
63.21796488;0
227.5206697;1
205.9997375;0
186.6377431;0
390.5909975;0
365.8037325;1
247.8137711;0
127.6492855;0
62.82534275;0
182.3944032;0
417.114368;0
133.9309031;0
294.7089161;0
38.23130541;0
173.3671828;1
245.8550734;1
318.9069299;1
482.3098883;1
357.5599618;0
33.50272861;0
128.1358311;0
80.02051401;0
165.3423026;0
76.10416231;0
567.7783046;1
392.195491;0
482.4202383;0
111.2082376;0
421.0590016;1
305.4353831;0
392.0114076;0
61.33382323;1
296.4562089;0
265.9745164;0
34.5457518;0
41.35546954;1
89.85381258;0
301.1678041;0
202.1446318;0
181.5063228;0
245.8635924;0
322.8768644;0
615.3360449;1
127.3257301;0
279.1575458;0
223.2973069;0
240.8712898;0
176.9894723;1
126.5626143;0
180.2720294;1
73.86542394;1
139.8892397;0
621.9742391;0
294.2988974;0
417.2561055;0
25.75342509;0
89.68956428;1
28.81527583;0
279.6361226;0
298.1397875;0
548.8380584;0
307.6073705;0
12.03381748;1
53.43156915;0
448.8466255;0
169.2267786;0
379.3061775;0
795.844595;0
323.8360078;0
268.5876469;0
110.9666208;1
107.1657784;0
22.6352564;0
196.6725517;0
250.4972893;0
372.6308953;0
711.4888248;0
151.6775365;0
317.6346692;1
298.3609515;1
131.0863416;0
365.750513;1
388.0157985;0
304.4752267;0
402.2697103;0
161.0182856;0
267.2318646;1
311.5958;0
93.83512219;1
228.4749214;0
446.6444131;1
149.4708439;1
130.6773778;0
255.460201;0
263.3374067;0
86.92147205;1
420.0155841;1
226.7461278;0
466.3789393;0
452.4898685;0
120.8306711;1
390.3881071;0
267.2192761;1
317.6996508;1
740.0062588;0
456.5903769;1
354.8311192;0
280.6008129;1
112.7953343;0
481.9369207;0
419.5518367;0
241.6237647;1
430.4254427;0
48.5323192;1
356.1548247;1
3.012366155;0
341.0398172;0
97.93925783;1
124.6762052;0
171.4069852;0
221.2352313;0
101.9581223;0
626.2430408;1
449.7208593;0
269.7741528;0
341.9394318;1
136.6468443;0
388.6336882;1
312.6305923;1
239.4158927;0
164.6105997;0
169.8758565;0
379.7710165;1
121.4405999;0
195.9973256;0
599.1678549;0
307.3462579;0
407.8227135;0
218.5400271;0
239.8565859;0
276.9376891;0
537.4666291;0
64.93348713;0
339.214118;0
47.36455245;0
337.003697;0
295.614452;1
154.3045431;1
597.4315189;0
473.1984848;0
361.0002579;0
30.40699693;0
144.7539475;0
218.9589376;0
208.9006696;0
23.23755814;0
67.38212278;1
523.3916235;0
223.6988895;1
363.9618369;0
340.8231818;0
262.1892947;0
509.8364534;0
79.803784;0
290.1506975;0
247.914322;1
236.4768392;0
203.3816958;0
387.3485767;0
416.7444625;0
281.8089594;1
1.74287867;0
453.1621614;0
90.31453728;0
