home_team_score;away_team_score;home_field_adv;bet;edge;deltabankroll
2325.48019428977;2116.05610479438;255.028751043765;2;0.00487392717458268;-1
2053.56984221788;1832.52195944901;256.507965427034;2;0.105543305385758;12
1985.97799821732;1865.25888330371;253.902363021698;1;0.0298256456926546;0.91
1957.39970174701;2087.19250644966;256.822898245693;1;0.112506957094263;-1
2062.79715395662;2090.35768905301;253.982597592987;1;0.128245993303623;-1
2127.69080276458;1981.47511795953;252.534007295693;2;0.0836012684293854;-1
2090.34050094467;2029.23613240573;253.612233010423;2;0.0951813295493413;-1
1859.04507312667;2050.69077329617;254.86366505281;1;0.121296268288212;-1
1977.76922203111;1999.88955648403;249.64100412342;1;0.0412877410525574;-1
1901.2059156154;1948.22755995055;253.021381811618;1;0.117006802212216;-1
1898.07370052911;1950.67115170654;239.235194323458;1;0.036835972847773;-1
2144.16721942565;1999.5414509807;245.965229077504;2;0.0447310747080648;5
2101.85589349916;1985.13921862521;249.087057636357;2;0.0533164007677145;-1
1826.97349961954;2323.01864021746;248.231369538723;1;0.0516509968973487;-1
1967.98428856189;2085.20586695475;244.87086393849;1;0.126428797484638;2.4
1931.99242820612;2114.79800438248;245.630918922696;1;0.193758811559169;-1
1959.59531948042;1787.82036564337;245.339414133363;1;0.027681528453489;-1
1890.51673915415;2000.88279892417;244.296962907012;1;0.0792402596821334;1.9
1833.63538488815;2115.29051011973;243.423819823887;1;0.0867679740106017;3
1957.61605114459;2021.94237212789;237.693503805367;1;0.00167395081595129;-1
1990.99031114173;1990.65456314762;245.519325393232;1;0.00988721334641873;-1
2004.20239738837;1930.55504773955;245.25958027588;2;0.054723915872136;-1
2046.72616734812;1808.91830083683;244.502021747265;1;0.026206331999021;-1
2102.29495757872;1991.12282072522;246.387824918639;2;0.0410478710057761;-1
1825.09371472063;2106.14549096553;247.549047639366;1;0.0752030425092017;-1
2003.26495436158;2328.75080811744;245.465339747801;1;0.0843427206735677;-1
1988.70616296597;2068.28719382388;244.923333420669;1;0.108309159875768;2
1943.33868355022;2115.43265761484;248.198136379558;1;0.113877658810323;-1
2342.34029181421;2015.88036280823;241.318375578994;2;0.0215219511603753;-1
2049.95433835003;1899.30104383228;241.542196501207;2;0.105583428097963;-1
2135.36572249077;1895.57886001294;242.633375781987;2;0.0900016599641557;-1
1982.2360001815;2114.29371557931;243.265952983111;1;0.047689499307733;-1
1974.8751378174;1797.37111441032;243.554978175669;1;0.0524518894412338;-1
2038.34025029868;1975.49471351324;242.589846301894;1;0.0301469004306368;-1
2143.68463349349;2353.47484492417;244.33596323341;1;0.00486343274339779;-1
1841.4093230104;2124.59667919371;241.831886646667;1;0.0499978261041709;-1
2018.32305957406;1958.80648816187;241.65123266318;1;0.0279014481821776;1.05
1954.60349821831;1996.97371475593;244.514848306712;2;0.0121114519707281;-1
1993.00425941354;2051.59530611813;240.097369520646;1;0.0935072653387231;1.8
1857.8484287588;1854.91681101851;242.931974612079;2;0.0128856145586014;-1
2157.49617780097;2077.04158739406;242.422273971664;1;0.0270611354333412;-1
2210.6855851083;1841.36951450435;246.019974336637;2;0.0164287339054659;-1
1858.29269567067;1975.69404668537;244.727081149303;1;0.0499946585865728;-1
1962.828450598;1925.60608811147;241.935183323506;1;0.0494826256693797;-1
