P(fav);Y
0.661557322;0
0.580250895;0
0.650935116;0
0.727299022;0
0.573431889;1
0.667811339;0
0.707810682;0
0.682303627;0
0.629559048;1
0.561116133;0
0.637095179;0
0.6028831;1
0.553422192;0
0.837511055;0
0.631417219;0
0.516805819;0
0.532600543;0
0.701398482;0
0.689404615;1
0.753875289;0
0.666579982;1
0.686234147;0
0.531601411;0
0.644247976;1
0.557072411;0
0.761538363;1
0.767435998;0
0.581163401;0
0.718402994;0
0.578733205;1
0.637852426;0
0.730443571;0
0.528927874;0
0.687141989;0
0.53942919;0
0.638486622;1
0.625977704;0
0.61457737;0
0.726408715;0
0.713922024;1
0.650112654;0
0.579110558;0
0.539185317;0
0.612061515;0
0.739387193;0
0.582933457;0
0.676289642;0
0.523876392;0
0.606689549;1
0.648997993;1
0.689389632;1
0.769550481;1
0.70969432;0
0.520926973;0
0.579407008;0
0.549846691;0
0.601892253;0
0.547422135;0
0.805251515;1
0.72720518;0
0.769599402;0
0.56906088;0
0.741282968;1
0.682132319;0
0.727113875;0
0.538258709;1
0.677245207;0
0.660368384;0
0.521577685;0
0.525824169;1
0.555923668;0
0.679814513;0
0.623718493;0
0.611534214;0
0.649002845;0
0.691510848;0
0.823223297;1
0.578913385;0
0.66772065;0
0.636045969;0
0.646154491;0
0.608848301;1
0.578448249;0
0.610800915;1
0.546035145;1
0.58655043;0
0.825625443;0
0.676065196;0
0.739455467;0
0.516090333;0
0.555822295;1
0.518001763;0
0.667986051;0
0.678164528;0
0.797718445;0
0.683308521;0
0.507520569;1
0.533345163;0
0.754381106;0
0.60421691;0
0.720766211;0
0.879702029;0
0.692022133;0
0.661832041;0
0.568912744;1
0.566580833;0
0.514143261;0
0.620502442;0
0.651637137;0
0.717395163;0
0.855538995;0
0.593678653;0
0.688708144;1
0.678285193;1
0.581203505;0
0.71389485;1
0.72512737;0
0.68161162;0
0.732172745;0
0.599299141;0
0.66107303;1
0.685462287;0
0.558379471;1
0.639037094;0
0.753359557;1
0.592347198;1
0.580954624;0
0.654448341;0
0.658888184;0
0.554113148;1
0.740782381;1
0.63803955;0
0.762411699;0
0.756064837;0
0.574950099;1
0.726307898;0
0.661065979;1
0.688742972;1
0.86412894;0
0.757950521;1
0.708286765;0
0.668520708;1
0.570033623;0
0.769385082;0
0.740559692;0
0.646584486;1
0.745748335;0
0.530295543;1
0.708970042;1
0.50188272;0
0.701112171;0
0.56090805;1
0.577297842;0
0.605519597;0
0.634851752;0
0.563381033;0
0.827156535;1
0.754785849;0
0.662495603;0
0.701583253;1
0.584583285;0
0.725435154;1
0.686019782;1
0.645322149;0
0.601453848;0
0.604604893;0
0.721000037;1
0.575322696;0
0.620104857;0
0.817263992;0
0.683167244;0
0.734886257;0
0.633288365;0
0.645574275;0
0.666488208;0
0.793092261;0
0.540494542;0
0.700154838;0
0.529568305;0
0.698993428;0
0.676785048;1
0.595261917;1
0.816614823;0
0.765486103;0
0.711463115;0
0.518995227;0
0.589496631;0
0.633531544;0
0.627674132;0
0.514519391;0
0.542014519;1
0.787258536;0
0.636278344;1
0.712980639;0
0.700998667;0
0.658242782;0
0.781527661;0
0.549712578;0
0.673789912;0
0.650169832;1
0.643638622;0
0.624444042;0
0.724794773;0
0.739208958;0
0.669189682;1
0.501089297;0
0.756374682;0
0.556208001;0
0.684430883;0
0.866937782;0
0.50356585;1
0.609339534;1
0.655577478;0
0.650570803;0
0.623331272;0
0.537675321;1
0.604430308;0
0.71960876;1
0.751601535;0
0.61174815;0
0.7156443;1
0.566502872;0
0.67994576;0
0.559458972;0
0.730472576;0
0.883595429;0
0.616864902;0
0.59194104;0
0.672885037;0
0.735446153;0
0.663218371;0
0.624746267;0
0.57626003;0
0.610139637;0
0.508168508;0
0.670519118;1
0.86298205;1
0.579428848;1
0.501235217;0
0.573894858;0
0.623825078;1
0.609227162;1
0.651191183;0
0.829869855;0
0.788125446;0
0.575638919;1
0.622249261;0
0.657749725;0
0.788985295;0
0.820700911;0
0.594631022;1
0.537961452;1
0.633565484;0
0.500041673;0
0.526166776;0
0.563149651;0
0.782180081;0
0.734649273;0
0.713895946;1
0.758929651;1
0.624493167;0
0.653726739;1
0.55127913;1
0.778623639;0
0.67023982;0
0.510442998;1
0.517019768;1
0.671689393;1
0.674032656;1
0.759724046;0
0.693745878;0
0.501469965;1
0.521445285;1
0.646463684;1
0.635202373;0
0.555218982;0
0.743175081;0
0.836256988;0
0.773006445;1
0.636766631;0
0.686206034;0
0.549560128;0
0.647735952;1
0.585921531;1
0.744688177;0
0.797591418;0
0.708545136;0
0.55310211;0
0.647663784;0
0.55595168;0
0.610233402;1
0.638074393;0
0.765266317;0
0.805859569;0
0.60092458;1
0.628237216;0
0.705099496;1
0.543872825;0
0.687353023;0
0.596345901;0
0.759238513;0
0.784073134;0
0.557241606;0
0.667856952;0
