P(fav);avg;Y
0.678285193;2051.08;1
0.581203505;2153.3;0
0.71389485;2034.45;1
0.72512737;2202.4;0
0.68161162;2194.01;0
0.732172745;2224.6;0
0.599299141;2025.8;0
0.66107303;2101.96;1
0.685462287;2010.3;0
0.558379471;2010.15;1
0.639037094;2313.04;0
0.753359557;2437.43;1
0.592347198;2235.48;1
0.580954624;1967.6;0
0.654448341;2101.52;0
0.658888184;2030.66;0
0.554113148;2204.03;1
0.740782381;2017.3;1
0.63803955;2106.08;0
0.762411699;2182.43;0
0.756064837;2240.37;0
0.574950099;2047.87;1
0.726307898;2010.53;0
0.661065979;2111.11;1
0.688742972;2208.28;1
0.86412894;2219.35;0
0.757950521;2053.1;1
0.708286765;2117.68;0
0.668520708;2096.45;1
0.570033623;2189.7;0
0.769385082;2368.33;0
0.740559692;2091.81;0
0.646584486;2066.78;1
0.745748335;2030.78;0
0.530295543;2182.12;1
0.708970042;2097.93;1
0.50188272;2183.38;0
0.701112171;2173.65;0
0.56090805;2035.51;1
0.577297842;2093.48;0
0.605519597;2131.97;0
0.634851752;2246.45;0
0.563381033;2035.72;0
0.827156535;2301.77;1
0.754785849;2085.58;0
0.662495603;1986.76;0
0.701583253;2116.91;1
0.584583285;2156.11;0
0.725435154;2030.58;1
0.686019782;2195.65;1
0.645322149;2107.7;0
0.601453848;1999.24;0
0.604604893;2275.66;0
0.721000037;2050.28;1
0.575322696;2022.4;0
0.620104857;2138.51;0
0.817263992;2324.3;0
0.683167244;2167.17;0
0.734886257;2076.49;0
0.633288365;2140.22;0
0.645574275;1994.56;0
0.666488208;2066.48;0
0.793092261;2079.23;0
0.540494542;2106.77;0
0.700154838;2069.32;0
0.529568305;2100.55;0
0.698993428;2090;0
0.676785048;2127.35;1
0.595261917;2323.24;1
0.816614823;2326.16;0
0.765486103;2096.56;0
0.711463115;2178.32;0
0.518995227;2139;0
0.589496631;2002.9;0
0.633531544;2102.02;0
0.627674132;2121.27;0
0.514519391;2237.07;0
0.542014519;2082.98;1
0.787258536;2181.4;0
0.636278344;2078.08;1
0.712980639;2046.6;0
0.700998667;2177.88;0
0.658242782;2296.76;0
0.781527661;2330.48;0
0.549712578;1971.87;0
0.673789912;2046.77;0
0.650169832;2122.83;1
0.643638622;2079.22;0
0.624444042;2081.6;0
0.724794773;2173.71;0
0.739208958;2167.03;0
0.669189682;2067;1
0.501089297;2191.87;0
0.756374682;1970.3;0
0.556208001;2271.52;0
0.684430883;2267.56;0
0.866937782;2242.63;0
0.50356585;2039.61;1
0.609339534;2081.1;1
0.655577478;2098.71;0
0.650570803;2098.59;0
0.623331272;2073.16;0
0.537675321;2175.01;1
0.604430308;2191.4;0
0.71960876;2202.94;1
0.751601535;2169.16;0
0.61174815;2076.64;0
0.7156443;1977.37;1
0.566502872;2054.57;0
0.67994576;2087.12;0
0.559458972;2299.22;0
0.730472576;2224.63;0
0.883595429;2208.93;0
0.616864902;2131.99;0
0.59194104;2210.88;0
0.672885037;2034.31;0
0.735446153;2124.83;0
0.663218371;2298.24;0
0.624746267;2089.12;0
0.57626003;1991.84;0
0.610139637;2267.9;0
0.508168508;2142.76;0
0.670519118;2121.49;1
0.86298205;2278;1
0.579428848;2272.47;1
0.501235217;2156.09;0
0.573894858;1996.2;0
0.623825078;2070.44;1
0.609227162;2023.14;1
0.651191183;2133.94;0
0.829869855;2097.35;0
0.788125446;2113.58;0
0.575638919;2157.46;1
